stationName,administrationCompany,routeName,stationCode,year,passengers
光が丘,東京都,12号線大江戸線,3225,2023,54950
練馬春日町,東京都,12号線大江戸線,3243,2023,21703
豊島園,東京都,12号線大江戸線,3309,2023,13526
練馬,東京都,12号線大江戸線,3338,2023,74420
新江古田,東京都,12号線大江戸線,3367,2023,27685
落合南長崎,東京都,12号線大江戸線,3448,2023,25931
中井,東京都,12号線大江戸線,3503,2023,23955
春日,東京都,12号線大江戸線,3539,2023,57449
上野御徒町,東京都,12号線大江戸線,3543,2023,52906
本郷三丁目,東京都,12号線大江戸線,3546,2023,20607
東中野,東京都,12号線大江戸線,3549,2023,24189
新御徒町,東京都,12号線大江戸線,3556,2023,54204
蔵前,東京都,12号線大江戸線,3571,2023,34226
飯田橋,東京都,12号線大江戸線,3585,2023,27039
牛込神楽坂,東京都,12号線大江戸線,3602,2023,13232
牛込柳町,東京都,12号線大江戸線,3618,2023,19728
若松河田,東京都,12号線大江戸線,3623,2023,27802
東新宿,東京都,12号線大江戸線,3630,2023,35979
中野坂上,東京都,12号線大江戸線,3631,2023,38114
両国,東京都,12号線大江戸線,3646,2023,32005
新宿西口,東京都,12号線大江戸線,3669,2023,51581
都庁前,東京都,12号線大江戸線,3690,2023,46002
西新宿五丁目,東京都,12号線大江戸線,3696,2023,31076
森下,東京都,12号線大江戸線,3712,2023,61803
新宿,東京都,12号線大江戸線,3715,2023,122382
代々木,東京都,12号線大江戸線,3746,2023,30760
清澄白河,東京都,12号線大江戸線,3754,2023,38213
国立競技場,東京都,12号線大江戸線,3775,2023,12767
青山一丁目,東京都,12号線大江戸線,3813,2023,64794
門前仲町,東京都,12号線大江戸線,3818,2023,75746
築地市場,東京都,12号線大江戸線,3886,2023,23148
汐留,東京都,12号線大江戸線,3887,2023,34991
六本木,東京都,12号線大江戸線,3892,2023,79608
月島,東京都,12号線大江戸線,3893,2023,65675
勝どき,東京都,12号線大江戸線,3927,2023,81077
大門,東京都,12号線大江戸線,3939,2023,108152
麻布十番,東京都,12号線大江戸線,3941,2023,30698
赤羽橋,東京都,12号線大江戸線,3954,2023,34237
